"event","experiment time","system time","system time text"
"START",0.000000000E0,1764753424.056,"2025-12-03 11:17:04.056 UTC+02:00"
"PAUSE",2.112102404E2,1764753635.267,"2025-12-03 11:20:35.267 UTC+02:00"
